ID_Customer,Nama_Customer,Gender,Alamat,Kota
C00555,Miko Ramadhan,Perempuan,"Jl. Cempaka No.270, Yogyakarta, DIY, 55111",Yogyakarta
C00162,Adit Lubis,Laki-laki,"Jl. Kenanga No.177, Medan, Sumut, 20111",Medan
C02245,Bintang Maulana,Laki-laki,"Jl. Mawar No.170, Denpasar, Bali, 80111",Denpasar
C02298,Yuli Aditya,Laki-laki,"Jl. Anggrek No.8, Surabaya, Jatim, 60111",Surabaya
C00961,Farhan Harahap,Laki-laki,"Jl. Anggrek No.259, Semarang, Jateng, 50111",Semarang
C02279,Dewi Fauzan,Perempuan,"Jl. Melati No.386, Bandung, Jawa Barat, 40111",Bandung
C04331,Bagus Lubis,Laki-laki,"Jl. Melati No.236, Surabaya, Jatim, 60111",Surabaya
C00932,Bella Ginting,Laki-laki,"Jl. Cempaka No.271, Makassar, Sulsel, 90111",Makassar
C04413,Adit Lestari,Perempuan,"Jl. Melati No.65, Denpasar, Bali, 80111",Denpasar
C02512,Dewi Rahma,Laki-laki,"Jl. Melati No.46, Surabaya, Jatim, 60111",Surabaya
C03854,Tomi Siregar,Perempuan,"Jl. Melati No.353, Yogyakarta, DIY, 55111",Yogyakarta
C00600,Salsa Aditya,Laki-laki,"Jl. Cempaka No.218, Surabaya, Jatim, 60111",Surabaya
C04002,Daffa Mahardika,Laki-laki,"Jl. Anggrek No.353, Jakarta, DKI, 10110",Jakarta
C00898,Yuli Prakoso,Perempuan,"Jl. Cempaka No.348, Denpasar, Bali, 80111",Denpasar
C02912,Lestari Santoso,Laki-laki,"Jl. Kenanga No.142, Makassar, Sulsel, 90111",Makassar
C03120,Rafi Maulana,Perempuan,"Jl. Melati No.221, Makassar, Sulsel, 90111",Makassar
C03526,Tara Widodo,Perempuan,"Jl. Mawar No.159, Surabaya, Jatim, 60111",Surabaya
C04417,Salsa Sari,Perempuan,"Jl. Melati No.162, Jakarta, DKI, 10110",Jakarta
C00758,Alya Sari,Perempuan,"Jl. Anggrek No.79, Makassar, Sulsel, 90111",Makassar
C03615,Salsa Rahma,Perempuan,"Jl. Cempaka No.238, Makassar, Sulsel, 90111",Makassar
C03662,Bagus Wibowo,Laki-laki,"Jl. Anggrek No.192, Yogyakarta, DIY, 55111",Yogyakarta
C01208,Putri Maulana,Perempuan,"Jl. Anggrek No.277, Jakarta, DKI, 10110",Jakarta
C02728,Daffa Wijaya,Laki-laki,"Jl. Anggrek No.320, Semarang, Jateng, 50111",Semarang
C02794,Rina Putri,Perempuan,"Jl. Mawar No.191, Denpasar, Bali, 80111",Denpasar
C01606,Tara Wijaya,Perempuan,"Jl. Mawar No.113, Jakarta, DKI, 10110",Jakarta
C03883,Putri Mahardika,Laki-laki,"Jl. Mawar No.320, Surabaya, Jatim, 60111",Surabaya
C03867,Nanda Hidayat,Laki-laki,"Jl. Kenanga No.231, Jakarta, DKI, 10110",Jakarta
C00558,Daffa Nainggolan,Laki-laki,"Jl. Kenanga No.115, Denpasar, Bali, 80111",Denpasar
C00845,Fahri Saputra,Perempuan,"Jl. Melati No.255, Semarang, Jateng, 50111",Semarang
C00933,Rama Widodo,Laki-laki,"Jl. Melati No.7, Denpasar, Bali, 80111",Denpasar
C01846,Adit Fauzan,Perempuan,"Jl. Kenanga No.329, Jakarta, DKI, 10110",Jakarta
C00325,Deny Putri,Laki-laki,"Jl. Kenanga No.347, Bandung, Jawa Barat, 40111",Bandung
C03434,Surya Siregar,Laki-laki,"Jl. Melati No.30, Denpasar, Bali, 80111",Denpasar
C00597,Dian Ramadhan,Perempuan,"Jl. Mawar No.187, Surabaya, Jatim, 60111",Surabaya
C01133,Alya Siregar,Laki-laki,"Jl. Mawar No.261, Medan, Sumut, 20111",Medan
C00228,Eko Pamungkas,Perempuan,"Jl. Kenanga No.83, Yogyakarta, DIY, 55111",Yogyakarta
C02991,Surya Pamungkas,Laki-laki,"Jl. Cempaka No.304, Semarang, Jateng, 50111",Semarang
C00724,Satria Maulana,Laki-laki,"Jl. Cempaka No.222, Jakarta, DKI, 10110",Jakarta
C00122,Lestari Gani,Perempuan,"Jl. Kenanga No.66, Yogyakarta, DIY, 55111",Yogyakarta
C00071,Daffa Hidayat,Perempuan,"Jl. Anggrek No.154, Medan, Sumut, 20111",Medan
C02160,Rizky Putra,Perempuan,"Jl. Kenanga No.260, Surabaya, Jatim, 60111",Surabaya
C02287,Bella Saputra,Laki-laki,"Jl. Cempaka No.131, Medan, Sumut, 20111",Medan
C02408,Indira Simanjuntak,Laki-laki,"Jl. Mawar No.85, Jakarta, DKI, 10110",Jakarta
C03893,Bagus Gani,Laki-laki,"Jl. Anggrek No.103, Surabaya, Jatim, 60111",Surabaya
C01868,Miko Hidayat,Perempuan,"Jl. Melati No.288, Yogyakarta, DIY, 55111",Yogyakarta
C00926,Surya Maulana,Laki-laki,"Jl. Cempaka No.117, Bandung, Jawa Barat, 40111",Bandung
C00370,Rama Prakoso,Perempuan,"Jl. Cempaka No.32, Yogyakarta, DIY, 55111",Yogyakarta
C03758,Fahri Maulana,Laki-laki,"Jl. Kenanga No.187, Bandung, Jawa Barat, 40111",Bandung
C03879,Putri Widodo,Perempuan,"Jl. Kenanga No.324, Jakarta, DKI, 10110",Jakarta
C04471,Adit Harahap,Laki-laki,"Jl. Kenanga No.299, Denpasar, Bali, 80111",Denpasar
C03604,Tara Lubis,Laki-laki,"Jl. Melati No.242, Yogyakarta, DIY, 55111",Yogyakarta
C01827,Rama Pamungkas,Laki-laki,"Jl. Melati No.350, Denpasar, Bali, 80111",Denpasar
C00890,Dinda Hidayat,Perempuan,"Jl. Anggrek No.168, Makassar, Sulsel, 90111",Makassar
C00464,Satria Gani,Perempuan,"Jl. Cempaka No.307, Yogyakarta, DIY, 55111",Yogyakarta
C01114,Dian Wijaya,Perempuan,"Jl. Kenanga No.249, Bandung, Jawa Barat, 40111",Bandung
C02005,Tomi Hidayat,Laki-laki,"Jl. Cempaka No.1, Denpasar, Bali, 80111",Denpasar
C00688,Rama Mahardika,Perempuan,"Jl. Mawar No.279, Jakarta, DKI, 10110",Jakarta
C03913,Daffa Wibowo,Perempuan,"Jl. Cempaka No.164, Denpasar, Bali, 80111",Denpasar
C03984,Farhan Santoso,Laki-laki,"Jl. Melati No.269, Surabaya, Jatim, 60111",Surabaya
C04323,Zahra Lestari,Perempuan,"Jl. Mawar No.68, Makassar, Sulsel, 90111",Makassar
C00878,Surya Lubis,Laki-laki,"Jl. Cempaka No.108, Denpasar, Bali, 80111",Denpasar
C00657,Reza Santoso,Perempuan,"Jl. Kenanga No.399, Jakarta, DKI, 10110",Jakarta
C03443,Satria Putri,Laki-laki,"Jl. Anggrek No.48, Yogyakarta, DIY, 55111",Yogyakarta
C01665,Fajar Hartono,Perempuan,"Jl. Anggrek No.44, Makassar, Sulsel, 90111",Makassar
C00296,Yuli Simanjuntak,Perempuan,"Jl. Cempaka No.243, Makassar, Sulsel, 90111",Makassar
C00158,Nadia Pamungkas,Laki-laki,"Jl. Cempaka No.74, Surabaya, Jatim, 60111",Surabaya
C00446,Nanda Santoso,Laki-laki,"Jl. Melati No.316, Medan, Sumut, 20111",Medan
C02092,Nanda Simanjuntak,Perempuan,"Jl. Mawar No.169, Makassar, Sulsel, 90111",Makassar
C00533,Rina Nainggolan,Laki-laki,"Jl. Anggrek No.75, Medan, Sumut, 20111",Medan
C00655,Gilang Maulana,Perempuan,"Jl. Melati No.205, Medan, Sumut, 20111",Medan
C02304,Fahri Siregar,Perempuan,"Jl. Mawar No.203, Bandung, Jawa Barat, 40111",Bandung
C02824,Nadia Harahap,Perempuan,"Jl. Melati No.131, Makassar, Sulsel, 90111",Makassar
C00882,Putri Hidayat,Laki-laki,"Jl. Mawar No.356, Medan, Sumut, 20111",Medan
C01504,Cahya Harahap,Perempuan,"Jl. Cempaka No.93, Yogyakarta, DIY, 55111",Yogyakarta
C04280,Adit Wijaya,Laki-laki,"Jl. Cempaka No.193, Jakarta, DKI, 10110",Jakarta
C01375,Putri Prakoso,Laki-laki,"Jl. Mawar No.62, Surabaya, Jatim, 60111",Surabaya
C00146,Nanda Saputra,Perempuan,"Jl. Melati No.271, Surabaya, Jatim, 60111",Surabaya
C03970,Arif Hidayat,Perempuan,"Jl. Mawar No.67, Denpasar, Bali, 80111",Denpasar
C01941,Salsa Putra,Laki-laki,"Jl. Kenanga No.47, Bandung, Jawa Barat, 40111",Bandung
C03801,Farhan Maulana,Perempuan,"Jl. Anggrek No.10, Medan, Sumut, 20111",Medan
C00861,Farhan Lestari,Perempuan,"Jl. Mawar No.83, Yogyakarta, DIY, 55111",Yogyakarta
C02513,Fajar Pamungkas,Perempuan,"Jl. Anggrek No.335, Makassar, Sulsel, 90111",Makassar
C00108,Bagus Putra,Laki-laki,"Jl. Kenanga No.250, Surabaya, Jatim, 60111",Surabaya
C02341,Farhan Wibowo,Laki-laki,"Jl. Mawar No.378, Bandung, Jawa Barat, 40111",Bandung
C01581,Rafi Prakoso,Laki-laki,"Jl. Kenanga No.69, Surabaya, Jatim, 60111",Surabaya
C00553,Tomi Santoso,Perempuan,"Jl. Kenanga No.273, Semarang, Jateng, 50111",Semarang
C03826,Alya Lestari,Laki-laki,"Jl. Cempaka No.384, Denpasar, Bali, 80111",Denpasar
C00427,Cahya Putra,Laki-laki,"Jl. Cempaka No.400, Denpasar, Bali, 80111",Denpasar
C00025,Vania Lestari,Perempuan,"Jl. Mawar No.28, Medan, Sumut, 20111",Medan
C03930,Daffa Simanjuntak,Perempuan,"Jl. Cempaka No.335, Bandung, Jawa Barat, 40111",Bandung
C00501,Fahri Aditya,Perempuan,"Jl. Mawar No.227, Jakarta, DKI, 10110",Jakarta
C03946,Miko Saputra,Perempuan,"Jl. Anggrek No.52, Semarang, Jateng, 50111",Semarang
C03716,Farhan Siregar,Perempuan,"Jl. Cempaka No.78, Medan, Sumut, 20111",Medan
C03755,Vania Rahma,Laki-laki,"Jl. Cempaka No.79, Denpasar, Bali, 80111",Denpasar
C02718,Daffa Lestari,Laki-laki,"Jl. Melati No.51, Semarang, Jateng, 50111",Semarang
C01330,Alya Wijaya,Perempuan,"Jl. Mawar No.192, Surabaya, Jatim, 60111",Surabaya
C01705,Eko Fauzan,Perempuan,"Jl. Melati No.170, Jakarta, DKI, 10110",Jakarta
C01826,Dewi Lestari,Laki-laki,"Jl. Anggrek No.246, Denpasar, Bali, 80111",Denpasar
C00043,Deny Hartono,Laki-laki,"Jl. Anggrek No.44, Denpasar, Bali, 80111",Denpasar
C00359,Reza Harahap,Perempuan,"Jl. Melati No.92, Makassar, Sulsel, 90111",Makassar
C01649,Rizky Ginting,Laki-laki,"Jl. Cempaka No.360, Bandung, Jawa Barat, 40111",Bandung
C01815,Naufal Siregar,Laki-laki,"Jl. Mawar No.249, Bandung, Jawa Barat, 40111",Bandung
C04317,Adit Pamungkas,Perempuan,"Jl. Cempaka No.385, Surabaya, Jatim, 60111",Surabaya
C01768,Putri Wijaya,Laki-laki,"Jl. Anggrek No.125, Makassar, Sulsel, 90111",Makassar
C00271,Bintang Kusuma,Perempuan,"Jl. Cempaka No.105, Jakarta, DKI, 10110",Jakarta
C02727,Zahra Pratama,Perempuan,"Jl. Kenanga No.220, Surabaya, Jatim, 60111",Surabaya
C02076,Rizky Prakoso,Laki-laki,"Jl. Mawar No.295, Medan, Sumut, 20111",Medan
C03428,Alya Kusuma,Laki-laki,"Jl. Melati No.47, Surabaya, Jatim, 60111",Surabaya
C03663,Fajar Sari,Perempuan,"Jl. Kenanga No.275, Makassar, Sulsel, 90111",Makassar
C02311,Bintang Widodo,Laki-laki,"Jl. Kenanga No.329, Bandung, Jawa Barat, 40111",Bandung
C01333,Nanda Sari,Laki-laki,"Jl. Kenanga No.45, Semarang, Jateng, 50111",Semarang
C02402,Vania Utami,Perempuan,"Jl. Mawar No.188, Yogyakarta, DIY, 55111",Yogyakarta
C03520,Farhan Nainggolan,Laki-laki,"Jl. Cempaka No.200, Surabaya, Jatim, 60111",Surabaya
C03587,Cahya Mahardika,Perempuan,"Jl. Melati No.112, Bandung, Jawa Barat, 40111",Bandung
C00133,Farhan Putri,Laki-laki,"Jl. Cempaka No.21, Surabaya, Jatim, 60111",Surabaya
C00872,Fahri Santoso,Perempuan,"Jl. Mawar No.202, Semarang, Jateng, 50111",Semarang
C01757,Rama Utami,Perempuan,"Jl. Mawar No.18, Medan, Sumut, 20111",Medan
C00927,Miko Putra,Laki-laki,"Jl. Anggrek No.215, Bandung, Jawa Barat, 40111",Bandung
C02576,Dinda Sari,Perempuan,"Jl. Mawar No.86, Denpasar, Bali, 80111",Denpasar
C00647,Farhan Widodo,Laki-laki,"Jl. Melati No.162, Surabaya, Jatim, 60111",Surabaya
C00920,Vera Utami,Laki-laki,"Jl. Cempaka No.37, Denpasar, Bali, 80111",Denpasar
C00540,Reza Sari,Laki-laki,"Jl. Melati No.238, Surabaya, Jatim, 60111",Surabaya
C00698,Tara Nainggolan,Laki-laki,"Jl. Cempaka No.394, Medan, Sumut, 20111",Medan
C02883,Naufal Putri,Perempuan,"Jl. Cempaka No.156, Yogyakarta, DIY, 55111",Yogyakarta
C03419,Zahra Prakoso,Laki-laki,"Jl. Mawar No.119, Surabaya, Jatim, 60111",Surabaya
C02507,Dewi Simanjuntak,Laki-laki,"Jl. Kenanga No.283, Surabaya, Jatim, 60111",Surabaya
C03378,Dinda Ginting,Perempuan,"Jl. Anggrek No.184, Semarang, Jateng, 50111",Semarang
C01652,Deny Lestari,Laki-laki,"Jl. Kenanga No.361, Yogyakarta, DIY, 55111",Yogyakarta
C02014,Alya Widodo,Laki-laki,"Jl. Melati No.112, Yogyakarta, DIY, 55111",Yogyakarta
C02074,Dinda Ramadhan,Perempuan,"Jl. Anggrek No.370, Semarang, Jateng, 50111",Semarang
C00406,Rama Santoso,Laki-laki,"Jl. Anggrek No.179, Denpasar, Bali, 80111",Denpasar
C02137,Dimas Ginting,Laki-laki,"Jl. Cempaka No.240, Denpasar, Bali, 80111",Denpasar
C03837,Adit Putra,Laki-laki,"Jl. Anggrek No.243, Denpasar, Bali, 80111",Denpasar
C00823,Nadia Lestari,Perempuan,"Jl. Cempaka No.183, Surabaya, Jatim, 60111",Surabaya
C03316,Vania Wijaya,Laki-laki,"Jl. Mawar No.362, Jakarta, DKI, 10110",Jakarta
C03597,Satria Wibowo,Perempuan,"Jl. Mawar No.113, Yogyakarta, DIY, 55111",Yogyakarta
